monotonic_ns,wall_ns,python_gc_objects_collected_total,python_gc_objects_uncollectable_total,python_gc_collections_total,python_info,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_cpu_seconds_total,process_open_fds,process_max_fds,vllm:estimated_flops_per_gpu_total,vllm:estimated_flops_per_gpu_created,vllm:estimated_read_bytes_per_gpu_total,vllm:estimated_read_bytes_per_gpu_created,vllm:estimated_write_bytes_per_gpu_total,vllm:estimated_write_bytes_per_gpu_created,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_waiting_by_reason,vllm:engine_sleep_state,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_queries_created,vllm:prefix_cache_hits_total,vllm:prefix_cache_hits_created,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_queries_created,vllm:external_prefix_cache_hits_total,vllm:external_prefix_cache_hits_created,vllm:mm_cache_queries_total,vllm:mm_cache_queries_created,vllm:mm_cache_hits_total,vllm:mm_cache_hits_created,vllm:num_preemptions_total,vllm:num_preemptions_created,vllm:prompt_tokens_total,vllm:prompt_tokens_created,vllm:prompt_tokens_by_source_total,vllm:prompt_tokens_by_source_created,vllm:prompt_tokens_cached_total,vllm:prompt_tokens_cached_created,vllm:generation_tokens_total,vllm:generation_tokens_created,vllm:request_success_total,vllm:request_success_created,vllm:request_prompt_tokens_bucket,vllm:request_prompt_tokens_count,vllm:request_prompt_tokens_sum,vllm:request_prompt_tokens_created,vllm:request_generation_tokens_bucket,vllm:request_generation_tokens_count,vllm:request_generation_tokens_sum,vllm:request_generation_tokens_created,vllm:iteration_tokens_total_bucket,vllm:iteration_tokens_total_count,vllm:iteration_tokens_total_sum,vllm:iteration_tokens_total_created,vllm:request_max_num_generation_tokens_bucket,vllm:request_max_num_generation_tokens_count,vllm:request_max_num_generation_tokens_sum,vllm:request_max_num_generation_tokens_created,vllm:request_params_n_bucket,vllm:request_params_n_count,vllm:request_params_n_sum,vllm:request_params_n_created,vllm:request_params_max_tokens_bucket,vllm:request_params_max_tokens_count,vllm:request_params_max_tokens_sum,vllm:request_params_max_tokens_created,vllm:time_to_first_token_seconds_bucket,vllm:time_to_first_token_seconds_count,vllm:time_to_first_token_seconds_sum,vllm:time_to_first_token_seconds_created,vllm:inter_token_latency_seconds_bucket,vllm:inter_token_latency_seconds_count,vllm:inter_token_latency_seconds_sum,vllm:inter_token_latency_seconds_created,vllm:request_time_per_output_token_seconds_bucket,vllm:request_time_per_output_token_seconds_count,vllm:request_time_per_output_token_seconds_sum,vllm:request_time_per_output_token_seconds_created,vllm:e2e_request_latency_seconds_bucket,vllm:e2e_request_latency_seconds_count,vllm:e2e_request_latency_seconds_sum,vllm:e2e_request_latency_seconds_created,vllm:request_queue_time_seconds_bucket,vllm:request_queue_time_seconds_count,vllm:request_queue_time_seconds_sum,vllm:request_queue_time_seconds_created,vllm:request_inference_time_seconds_bucket,vllm:request_inference_time_seconds_count,vllm:request_inference_time_seconds_sum,vllm:request_inference_time_seconds_created,vllm:request_prefill_time_seconds_bucket,vllm:request_prefill_time_seconds_count,vllm:request_prefill_time_seconds_sum,vllm:request_prefill_time_seconds_created,vllm:request_decode_time_seconds_bucket,vllm:request_decode_time_seconds_count,vllm:request_decode_time_seconds_sum,vllm:request_decode_time_seconds_created,vllm:request_prefill_kv_computed_tokens_bucket,vllm:request_prefill_kv_computed_tokens_count,vllm:request_prefill_kv_computed_tokens_sum,vllm:request_prefill_kv_computed_tokens_created,vllm:cache_config_info,http_requests_total,http_requests_created,http_request_size_bytes_count,http_request_size_bytes_sum,http_request_size_bytes_created,http_response_size_bytes_count,http_response_size_bytes_sum,http_response_size_bytes_created,http_request_duration_highr_seconds_bucket,http_request_duration_highr_seconds_count,http_request_duration_highr_seconds_sum,http_request_duration_highr_seconds_created,http_request_duration_seconds_bucket,http_request_duration_seconds_count,http_request_duration_seconds_sum,http_request_duration_seconds_created,vllm:gpu_cache_usage_perc
11144628344478,1789013612384572273,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.49,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11145225929131,1789013612982156866,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.5,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11145824238684,1789013613580466609,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.509999999999998,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11146422434945,1789013614178662299,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.509999999999998,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11147019431429,1789013614775659083,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.52,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11147616574483,1789013615372802098,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.52,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11148213781477,1789013615970009121,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.529999999999998,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11148799715107,1789013616555942932,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.54,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11149382353830,1789013617138581695,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.55,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11149965037442,1789013617721265197,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.55,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11150548365238,1789013618304593143,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.56,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11151131451706,1789013618887679421,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.57,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11151713415247,1789013619469642982,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.57,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11152295518028,1789013620051745653,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.58,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11152861201498,1789013620617429192,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.59,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
