timestamp, uuid, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 17:38:02.276, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.83 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:02.780, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.84 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:03.281, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.92 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:03.781, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.79 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:04.281, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.84 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:04.782, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.74 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:05.282, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.81 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:05.783, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.85 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:06.283, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.83 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:06.783, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.78 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:07.284, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.91 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:07.784, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.93 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:08.284, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.95 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:08.785, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.68 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:09.285, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.69 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:09.786, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.85 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:10.286, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 46.04 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:10.787, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.90 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:11.287, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.79 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:11.788, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.75 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:12.288, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.95 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:12.788, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.92 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:13.289, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.93 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:13.789, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.81 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:14.290, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.84 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:14.790, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 46.03 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:15.290, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.90 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:15.791, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.81 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:16.291, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.75 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:16.792, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.83 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:17.292, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.87 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:17.792, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 46.22 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:18.293, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.85 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:18.793, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.84 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:19.294, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.81 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:19.794, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.75 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:20.294, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.81 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:20.795, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.93 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:21.295, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.85 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:21.796, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.96 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:22.296, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.91 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:22.796, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.75 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:23.297, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.85 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:23.797, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.71 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:24.298, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.95 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:24.798, GPU-0f9da174-f4d4-80ab-d167-9fea51bf651f, 45.75 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
