episode,match_id,context_profile,bandwidth_mbps,required_deadline_s,repeat,policy,power_attainment_fraction,completion_s,completion_deadline_ratio,deadline_met,replay_moves,kv_moves,context_evidence,replay_contention_evidence,kv_contention_evidence,power_evidence,result_evidence,paired_pareto,pooled_pareto
0,ce460c988bbf0a02,tiny,1000.0,19.0,0,queue_haul,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
0,ce460c988bbf0a02,tiny,1000.0,19.0,0,greedy,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
0,ce460c988bbf0a02,tiny,1000.0,19.0,0,random,1,12.669447161458393,0.6668130084978102,True,4,4,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,False,False
0,ce460c988bbf0a02,tiny,1000.0,19.0,0,kv_only,1,8.536456706917564,0.4492871951009244,True,0,8,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,False,False
0,ce460c988bbf0a02,tiny,1000.0,19.0,0,replay_only,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
1,ed46e8e66b5f2100,tiny,1000.0,19.0,1,queue_haul,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
1,ed46e8e66b5f2100,tiny,1000.0,19.0,1,greedy,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
1,ed46e8e66b5f2100,tiny,1000.0,19.0,1,random,1,12.669447161458391,0.6668130084978101,True,5,3,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,False,False
1,ed46e8e66b5f2100,tiny,1000.0,19.0,1,kv_only,1,8.536456706917564,0.4492871951009244,True,0,8,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,False,False
1,ed46e8e66b5f2100,tiny,1000.0,19.0,1,replay_only,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
2,8d6fffe34b15c355,tiny,1000.0,19.0,2,queue_haul,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
2,8d6fffe34b15c355,tiny,1000.0,19.0,2,greedy,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
2,8d6fffe34b15c355,tiny,1000.0,19.0,2,random,1,12.669447161458395,0.6668130084978102,True,2,6,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,False,False
2,8d6fffe34b15c355,tiny,1000.0,19.0,2,kv_only,1,8.536456706917564,0.4492871951009244,True,0,8,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,False,False
2,8d6fffe34b15c355,tiny,1000.0,19.0,2,replay_only,1,2.9275234443295304,0.1540801812805016,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
3,169f67a23adfbb24,tiny,1000.0,30.0,3,queue_haul,1,2.9275234443295304,0.09758411481098435,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
3,169f67a23adfbb24,tiny,1000.0,30.0,3,greedy,1,2.9275234443295304,0.09758411481098435,True,8,0,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,True,False
3,169f67a23adfbb24,tiny,1000.0,30.0,3,random,1,23.6694471614584,0.7889815720486133,True,4,4,measured,measured_width8_aggregate_throughput_cap,measured_bandwidth_specific_aggregate_throughput_cap,modeled,simulated,False,False
