case_id,bound_constraint,action,mean,p05,median,p95,session_share_mean,target_met_rate
hbm,HBM,replay,0.7005834671726027,0.2625152068394178,0.7781005559290985,0.8599857928295286,0.23232142857142857,0.908
hbm,HBM,kv_transfer,0.09831029676273209,0.0,0.0,0.5412259687372103,0.028,0.908
hbm,HBM,not_moved,0.20110623606466527,0.13370608387315208,0.19628821880889658,0.28328960793748675,0.7396785714285713,0.908
bandwidth,Bandwidth,replay,0.8149831472770008,0.7558862983695309,0.8140519970717703,0.877458964012777,0.2571428571428571,1.0
bandwidth,Bandwidth,kv_transfer,0.0,0.0,0.0,0.0,0.0,1.0
bandwidth,Bandwidth,not_moved,0.18501685272299903,0.12254103598722291,0.18594800292822972,0.24411370163046905,0.7428571428571429,1.0
dest_compute,Dest. compute,replay,0.23409944614916015,0.0,0.238243999329589,0.4688818028868483,0.13417857142857145,0.864
dest_compute,Dest. compute,kv_transfer,0.5489073322374607,0.27755577943070175,0.5517849035861794,0.7904672620871153,0.19114285714285714,0.864
dest_compute,Dest. compute,not_moved,0.2169932216133793,0.14733265731084363,0.2069009662793974,0.353581037939397,0.6746785714285713,0.864
bandwidth-hbm,HBM + bandwidth,replay,0.7989199815839243,0.7167103920625133,0.8037117811911034,0.8662939161268479,0.26032142857142854,0.908
bandwidth-hbm,HBM + bandwidth,kv_transfer,0.0,0.0,0.0,0.0,0.0,0.908
bandwidth-hbm,HBM + bandwidth,not_moved,0.2010800184160758,0.13370608387315208,0.19628821880889658,0.28328960793748664,0.7396785714285713,0.908
dest_compute-hbm,HBM + compute,replay,0.22407879113426582,0.0,0.22337392360341457,0.43948041056304354,0.08996428571428569,0.779
dest_compute-hbm,HBM + compute,kv_transfer,0.5475333318636469,0.3152564390905364,0.5441783835802385,0.7762414360048927,0.18221428571428572,0.779
dest_compute-hbm,HBM + compute,not_moved,0.22838787700208713,0.1463536578218241,0.21057402955665483,0.408117861907548,0.7278214285714286,0.779
bandwidth-dest_compute,Bandwidth + compute,replay,0.7840709044279537,0.6462930375748286,0.7939594210371612,0.8507309003270972,0.3265,0.864
bandwidth-dest_compute,Bandwidth + compute,kv_transfer,0.0,0.0,0.0,0.0,0.0,0.864
bandwidth-dest_compute,Bandwidth + compute,not_moved,0.21592909557204631,0.14926909967290278,0.20604057896283884,0.35370696242517125,0.6735,0.864
bandwidth-dest_compute-hbm,All bound,replay,0.7710684786175754,0.5791627653404291,0.78917859331547,0.8536462995673019,0.27103571428571427,0.779
bandwidth-dest_compute-hbm,All bound,kv_transfer,0.0,0.0,0.0,0.0,0.0,0.779
bandwidth-dest_compute-hbm,All bound,not_moved,0.22893152138242456,0.14635370043269816,0.21082140668452998,0.4208372346595709,0.7289642857142857,0.779
none,None bound,replay,0.7098649182481329,0.24888972458845984,0.7908523073031624,0.8705125765855128,0.22682142857142856,1.0
none,None bound,kv_transfer,0.10508806992178134,0.0,0.0,0.5693017775337171,0.03032142857142857,1.0
none,None bound,not_moved,0.18504701183008573,0.12254103598722291,0.18594800292822966,0.24411370163046905,0.7428571428571429,1.0
